sample_number, vin1_plus, vin1_minus, digital_code, digital_code(radix 10)
369, 3.500000, 2.77369, 010011000100, 0.726310, 1220
370, 3.500000, 2.77877, 010010111110, 0.721230, 1214
371, 3.500000, 2.78385, 010010111000, 0.716150, 1208
372, 3.500000, 2.78893, 010010110010, 0.711070, 1202
373, 3.500000, 2.794, 010010101101, 0.706000, 1197
374, 3.500000, 2.79908, 010010100111, 0.700920, 1191
375, 3.500000, 2.80416, 010010100001, 0.695840, 1185
376, 3.500000, 2.80924, 010010011011, 0.690760, 1179
377, 3.500000, 2.81432, 010010010101, 0.685680, 1173
378, 3.500000, 2.8194, 010010010000, 0.680600, 1168
379, 3.500000, 2.82447, 010010001010, 0.675530, 1162
380, 3.500000, 2.82955, 010010000100, 0.670450, 1156
381, 3.500000, 2.83463, 010001111110, 0.665370, 1150
382, 3.500000, 2.83971, 010001111000, 0.660290, 1144
383, 3.500000, 2.84479, 010001110010, 0.655210, 1138
384, 3.500000, 2.84986, 010001101101, 0.650140, 1133
385, 3.500000, 2.85494, 010001100111, 0.645060, 1127
386, 3.500000, 2.86002, 010001100001, 0.639980, 1121
387, 3.500000, 2.8651, 010001011011, 0.634900, 1115
388, 3.500000, 2.87018, 010001010101, 0.629820, 1109
389, 3.500000, 2.87525, 010001010000, 0.624750, 1104
390, 3.500000, 2.88033, 010001001010, 0.619670, 1098
391, 3.500000, 2.88541, 010001000100, 0.614590, 1092
392, 3.500000, 2.89049, 010000111110, 0.609510, 1086
393, 3.500000, 2.89557, 010000111000, 0.604430, 1080
394, 3.500000, 2.90065, 010000110011, 0.599350, 1075
395, 3.500000, 2.90572, 010000101101, 0.594280, 1069
396, 3.500000, 2.9108, 010000100111, 0.589200, 1063
397, 3.500000, 2.91588, 010000100001, 0.584120, 1057
398, 3.500000, 2.92096, 010000011100, 0.579040, 1052
399, 3.500000, 2.92604, 010000010110, 0.573960, 1046
400, 3.500000, 2.93111, 010000010000, 0.568890, 1040
401, 3.500000, 2.93619, 010000001010, 0.563810, 1034
402, 3.500000, 2.94127, 010000000100, 0.558730, 1028
403, 3.500000, 2.94635, 001101100100, 0.553650, 868
404, 3.500000, 2.95143, 001101011110, 0.548570, 862
405, 3.500000, 2.9565, 001101011000, 0.543500, 856
406, 3.500000, 2.96158, 001101010010, 0.538420, 850
407, 3.500000, 2.96666, 001101001101, 0.533340, 845
408, 3.500000, 2.97174, 001101000111, 0.528260, 839
409, 3.500000, 2.97682, 001101000001, 0.523180, 833
410, 3.500000, 2.9819, 001100111011, 0.518100, 827
411, 3.500000, 2.98697, 001100110101, 0.513030, 821
412, 3.500000, 2.99205, 001100110000, 0.507950, 816
413, 3.500000, 2.99713, 001100101010, 0.502870, 810
414, 3.500000, 3.00221, 001100100100, 0.497790, 804
415, 3.500000, 3.00729, 001100011110, 0.492710, 798
416, 3.500000, 3.01236, 001100011000, 0.487640, 792
417, 3.500000, 3.01744, 001100010010, 0.482560, 786
418, 3.500000, 3.02252, 001100001101, 0.477480, 781
419, 3.500000, 3.0276, 001100000111, 0.472400, 775
420, 3.500000, 3.03268, 001100000001, 0.467320, 769
421, 3.500000, 3.03775, 001011111011, 0.462250, 763
422, 3.500000, 3.04283, 001011110101, 0.457170, 757
423, 3.500000, 3.04791, 001011110000, 0.452090, 752
424, 3.500000, 3.05299, 001011101010, 0.447010, 746
425, 3.500000, 3.05807, 001011100100, 0.441930, 740
426, 3.500000, 3.06315, 001011011110, 0.436850, 734
427, 3.500000, 3.06822, 001011011000, 0.431780, 728
428, 3.500000, 3.0733, 001011010010, 0.426700, 722
429, 3.500000, 3.07838, 001011001101, 0.421620, 717
430, 3.500000, 3.08346, 001011000111, 0.416540, 711
431, 3.500000, 3.08854, 001011000001, 0.411460, 705
432, 3.500000, 3.09361, 001010111011, 0.406390, 699
433, 3.500000, 3.09869, 001010110101, 0.401310, 693
434, 3.500000, 3.10377, 001010110000, 0.396230, 688
435, 3.500000, 3.10885, 001010101010, 0.391150, 682
436, 3.500000, 3.11393, 001010100100, 0.386070, 676
437, 3.500000, 3.119, 001010011110, 0.381000, 670
438, 3.500000, 3.12408, 001010011000, 0.375920, 664
439, 3.500000, 3.12916, 001010010010, 0.370840, 658
440, 3.500000, 3.13424, 001010001101, 0.365760, 653
441, 3.500000, 3.13932, 001010000111, 0.360680, 647
442, 3.500000, 3.1444, 001010000001, 0.355600, 641
443, 3.500000, 3.14947, 001001111011, 0.350530, 635
444, 3.500000, 3.15455, 001001110101, 0.345450, 629
445, 3.500000, 3.15963, 001001110000, 0.340370, 624
446, 3.500000, 3.16471, 001001101010, 0.335290, 618
447, 3.500000, 3.16979, 001001100100, 0.330210, 612
448, 3.500000, 3.17486, 001001011110, 0.325140, 606
449, 3.500000, 3.17994, 001001011000, 0.320060, 600
450, 3.500000, 3.18502, 001001010010, 0.314980, 594
451, 3.500000, 3.1901, 001001001101, 0.309900, 589
452, 3.500000, 3.19518, 001001000111, 0.304820, 583
453, 3.500000, 3.20025, 001001000001, 0.299750, 577
454, 3.500000, 3.20533, 001000111011, 0.294670, 571
455, 3.500000, 3.21041, 001000110110, 0.289590, 566
456, 3.500000, 3.21549, 001000110000, 0.284510, 560
