sample number, VIN1+(V), VIN1-(V)
sample number, VIN1+(V), VIN1-(V)
495, 3.500000,  3.41354 
496, 3.500000,  3.41861 
497, 3.500000,  3.42369 
498, 3.500000,  3.42877 
499, 3.500000,  3.43385 
500, 3.500000,  3.43893 
501, 3.500000,  3.444 
502, 3.500000,  3.44908 
503, 3.500000,  3.45416 
504, 3.500000,  3.45924 
505, 3.500000,  3.46432 
506, 3.500000,  3.4694 
507, 3.500000,  3.47447 
508, 3.500000,  3.47955 
509, 3.500000,  3.48463 
510, 3.500000,  3.48971 
511, 3.500000,  3.49479 
512, 3.500000,  3.49986 
513, 3.500000,  3.5 
514, 3.500000,  3.5 
515, 3.500000,  3.5 
516, 3.500000,  3.5 
517, 3.500000,  3.5 
518, 3.500000,  3.5 
